Team,Date,Innings,Runs Scored,Result
Royal Challengers Bangalore,2008-04-18,[],82,Lost
Royal Challengers Bangalore,2008-04-20,[],166,Won
Royal Challengers Bangalore,2008-04-26,[],135,Lost
Royal Challengers Bangalore,2008-04-28,[],165,Lost
Royal Challengers Bangalore,2008-04-30,[],181,Lost
Royal Challengers Bangalore,2008-05-03,[],156,Lost
Royal Challengers Bangalore,2008-05-05,[],126,Won
Royal Challengers Bangalore,2008-05-08,[],124,Lost
Royal Challengers Bangalore,2008-05-12,[],143,Won
Royal Challengers Bangalore,2008-05-17,[],132,Lost
Royal Challengers Bangalore,2008-05-19,[],154,Won
Royal Challengers Bangalore,2008-05-21,[],126,Lost
Royal Challengers Bangalore,2008-05-25,[],171,Won
Royal Challengers Bangalore,2008-05-28,[],122,Won
Royal Challengers Bangalore,2009-04-18,[],133,Won
Royal Challengers Bangalore,2009-04-20,[],87,Lost
Royal Challengers Bangalore,2009-04-22,[],160,Lost
Royal Challengers Bangalore,2009-04-24,[],168,Won
Royal Challengers Bangalore,2009-04-26,[],149,Won
Royal Challengers Bangalore,2009-04-29,[],143,Won
Royal Challengers Bangalore,2009-05-01,[],145,Won
Royal Challengers Bangalore,2009-05-03,[],150,Won
Royal Challengers Bangalore,2009-05-07,[],105,Won
Royal Challengers Bangalore,2009-05-10,[],141,Won
Royal Challengers Bangalore,2009-05-12,[],176,Won
Royal Challengers Bangalore,2009-05-14,[],132,Lost
Royal Challengers Bangalore,2009-05-19,[],135,Won
Royal Challengers Bangalore,2009-05-21,[],170,Won
Royal Challengers Bangalore,2009-05-23,[],149,Won
Royal Challengers Bangalore,2009-05-24,[],137,Won
Royal Challengers Bangalore,2010-03-14,[],135,Lost
Royal Challengers Bangalore,2010-03-16,[],204,Won
Royal Challengers Bangalore,2010-03-18,[],93,Won
Royal Challengers Bangalore,2010-03-20,[],155,Lost
Royal Challengers Bangalore,2010-03-23,[],171,Won
Royal Challengers Bangalore,2010-03-25,[],166,Lost
Royal Challengers Bangalore,2010-03-31,[],161,Won
Royal Challengers Bangalore,2010-04-02,[],184,Won
Royal Challengers Bangalore,2010-04-04,[],147,Lost
Royal Challengers Bangalore,2010-04-08,[],184,Won
Royal Challengers Bangalore,2010-04-10,[],162,Won
Royal Challengers Bangalore,2010-04-12,[],138,Lost
Royal Challengers Bangalore,2010-04-14,[],132,Won
Royal Challengers Bangalore,2010-04-17,[],134,Won
Royal Challengers Bangalore,2010-04-21,[],149,Lost
