Team,Date,Innings,Runs Scored,Result
Mumbai Indians,2008-04-20,[],165,Won
Mumbai Indians,2008-04-23,[],202,Won
Mumbai Indians,2008-04-25,[],116,Lost
Mumbai Indians,2008-04-27,[],154,Won
Mumbai Indians,2008-04-29,[],138,Won
Mumbai Indians,2008-05-04,[],162,Won
Mumbai Indians,2008-05-07,[],104,Won
Mumbai Indians,2008-05-14,[],158,Won
Mumbai Indians,2008-05-16,[],68,Won
Mumbai Indians,2008-05-18,[],178,Won
Mumbai Indians,2008-05-21,[],188,Won
Mumbai Indians,2008-05-24,[],176,Lost
Mumbai Indians,2008-05-26,[],145,Won
Mumbai Indians,2008-05-28,[],126,Won
Mumbai Indians,2009-04-18,[],165,Won
Mumbai Indians,2009-04-25,[],156,Won
Mumbai Indians,2009-04-27,[],187,Won
Mumbai Indians,2009-04-29,[],116,Lost
Mumbai Indians,2009-05-01,[],148,Won
Mumbai Indians,2009-05-03,[],149,Won
Mumbai Indians,2009-05-06,[],126,Lost
Mumbai Indians,2009-05-08,[],116,Won
Mumbai Indians,2009-05-10,[],157,Won
Mumbai Indians,2009-05-12,[],122,Won
Mumbai Indians,2009-05-14,[],143,Won
Mumbai Indians,2009-05-16,[],147,Won
Mumbai Indians,2009-05-21,[],165,Lost
Mumbai Indians,2010-03-13,[],212,Won
Mumbai Indians,2010-03-17,[],218,Won
Mumbai Indians,2010-03-20,[],151,Lost
Mumbai Indians,2010-03-22,[],156,Won
Mumbai Indians,2010-03-25,[],181,Won
Mumbai Indians,2010-03-28,[],172,Lost
Mumbai Indians,2010-03-30,[],164,Won
Mumbai Indians,2010-04-03,[],178,Won
Mumbai Indians,2010-04-06,[],141,Lost
Mumbai Indians,2010-04-09,[],154,Lost
Mumbai Indians,2010-04-11,[],174,Won
Mumbai Indians,2010-04-13,[],183,Won
Mumbai Indians,2010-04-17,[],191,Won
Mumbai Indians,2010-04-19,[],133,Won
Mumbai Indians,2010-04-21,[],184,Won
Mumbai Indians,2010-04-25,[],146,Lost
Mumbai Indians,2011-04-10,[],99,Lost
Mumbai Indians,2011-04-12,[],143,Won
Mumbai Indians,2011-04-15,[],182,Won
Mumbai Indians,2011-04-20,[],124,Won
Mumbai Indians,2011-04-22,[],164,Won
Mumbai Indians,2011-04-24,[],172,Won
Mumbai Indians,2011-04-29,[],94,Lost
Mumbai Indians,2011-05-02,[],159,Won
Mumbai Indians,2011-05-04,[],160,Won
Mumbai Indians,2011-05-07,[],178,Won
Mumbai Indians,2011-05-10,[],87,Lost
Mumbai Indians,2011-05-14,[],125,Lost
Mumbai Indians,2011-05-20,[],133,Won
Mumbai Indians,2011-05-22,[],178,Won
Mumbai Indians,2011-05-25,[],148,Won
Mumbai Indians,2011-05-27,[],142,Lost
Mumbai Indians,2012-04-04,[],115,Won
Mumbai Indians,2012-04-06,[],101,Lost
Mumbai Indians,2012-04-09,[],142,Won
Mumbai Indians,2012-04-11,[],197,Won
Mumbai Indians,2012-04-16,[],92,Won
Mumbai Indians,2012-04-22,[],163,Won
Mumbai Indians,2012-04-25,[],171,Won
Mumbai Indians,2012-04-27,[],170,Lost
Mumbai Indians,2012-04-29,[],101,Lost
Mumbai Indians,2012-05-03,[],120,Won
Mumbai Indians,2012-05-06,[],174,Won
Mumbai Indians,2012-05-09,[],141,Won
Mumbai Indians,2012-05-12,[],182,Won
Mumbai Indians,2012-05-14,[],173,Won
Mumbai Indians,2012-05-16,[],108,Lost
Mumbai Indians,2012-05-20,[],163,Won
Mumbai Indians,2012-05-23,[],149,Lost
Mumbai Indians,2013-04-04,[],154,Won
Mumbai Indians,2013-04-06,[],148,Lost
Mumbai Indians,2013-04-09,[],209,Won
Mumbai Indians,2013-04-13,[],183,Won
Mumbai Indians,2013-04-17,[],92,Lost
Mumbai Indians,2013-04-21,[],161,Lost
Mumbai Indians,2013-04-24,[],162,Won
Mumbai Indians,2013-04-27,[],194,Won
Mumbai Indians,2013-04-29,[],174,Won
Mumbai Indians,2013-05-01,[],129,Lost
Mumbai Indians,2013-05-05,[],139,Won
Mumbai Indians,2013-05-07,[],170,Won
Mumbai Indians,2013-05-11,[],116,Won
Mumbai Indians,2013-05-13,[],184,Won
Mumbai Indians,2013-05-15,[],166,Won
