Season,Team,Total Runs
2007/08,Royal Challengers Bangalore,1983
2007/08,Mumbai Indians,2080
2009,Royal Challengers Bangalore,2280
2009,Mumbai Indians,1897
2009/10,Royal Challengers Bangalore,2401
2009/10,Mumbai Indians,2738
2011,Royal Challengers Bangalore,2469
2011,Mumbai Indians,2288
2012,Royal Challengers Bangalore,2472
2012,Mumbai Indians,2462
2013,Royal Challengers Bangalore,2601
2013,Mumbai Indians,2975
2014,Royal Challengers Bangalore,2093
2014,Mumbai Indians,2353
2015,Royal Challengers Bangalore,2311
2015,Mumbai Indians,2734
2016,Royal Challengers Bangalore,2981
2016,Mumbai Indians,2194
2017,Royal Challengers Bangalore,1845
2017,Mumbai Indians,2800
2019,Royal Challengers Bangalore,2208
2019,Mumbai Indians,2670
2018,Royal Challengers Bangalore,2322
2018,Mumbai Indians,2380
2020/21,Royal Challengers Bangalore,2289
2020/21,Mumbai Indians,2758
2021,Royal Challengers Bangalore,2303
2021,Mumbai Indians,2117
2022,Royal Challengers Bangalore,2632
2022,Mumbai Indians,2217
2023,Royal Challengers Bangalore,2502
2023,Mumbai Indians,2945
