Date,Innings,Team,Runs Scored
2023-03-31,1,Chennai Super Kings,178
2023-03-31,2,Gujarat Titans,182
2023-04-01,1,Punjab Kings,191
2023-04-01,1,Lucknow Super Giants,193
2023-04-01,2,Kolkata Knight Riders,146
2023-04-01,2,Delhi Capitals,143
2023-04-02,1,Rajasthan Royals,203
2023-04-02,1,Mumbai Indians,171
2023-04-02,2,Sunrisers Hyderabad,131
2023-04-02,2,Royal Challengers Bangalore,172
2023-04-03,1,Chennai Super Kings,217
2023-04-03,2,Lucknow Super Giants,205
2023-04-04,1,Delhi Capitals,162
2023-04-04,2,Gujarat Titans,163
2023-04-05,1,Punjab Kings,197
2023-04-05,2,Rajasthan Royals,192
2023-04-06,1,Kolkata Knight Riders,204
2023-04-06,2,Royal Challengers Bangalore,123
2023-04-07,1,Sunrisers Hyderabad,121
2023-04-07,2,Lucknow Super Giants,127
2023-04-08,1,Rajasthan Royals,199
2023-04-08,1,Mumbai Indians,157
2023-04-08,2,Chennai Super Kings,159
2023-04-08,2,Delhi Capitals,142
2023-04-09,1,Gujarat Titans,204
2023-04-09,1,Punjab Kings,143
2023-04-09,2,Kolkata Knight Riders,207
2023-04-09,2,Sunrisers Hyderabad,145
2023-04-10,1,Royal Challengers Bangalore,212
2023-04-10,2,Lucknow Super Giants,213
2023-04-11,1,Delhi Capitals,172
2023-04-11,2,Mumbai Indians,173
2023-04-12,1,Rajasthan Royals,175
2023-04-12,2,Chennai Super Kings,172
2023-04-13,1,Punjab Kings,153
2023-04-13,2,Gujarat Titans,154
2023-04-14,1,Sunrisers Hyderabad,228
2023-04-14,2,Kolkata Knight Riders,205
2023-04-15,1,Lucknow Super Giants,159
2023-04-15,1,Royal Challengers Bangalore,174
2023-04-15,2,Punjab Kings,161
2023-04-15,2,Delhi Capitals,151
2023-04-16,1,Gujarat Titans,177
2023-04-16,1,Kolkata Knight Riders,185
2023-04-16,2,Rajasthan Royals,179
2023-04-16,2,Mumbai Indians,186
2023-04-17,1,Chennai Super Kings,226
2023-04-17,2,Royal Challengers Bangalore,218
2023-04-18,1,Mumbai Indians,192
2023-04-18,2,Sunrisers Hyderabad,178
2023-04-19,1,Lucknow Super Giants,154
2023-04-19,2,Rajasthan Royals,144
2023-04-20,1,Kolkata Knight Riders,127
2023-04-20,1,Royal Challengers Bangalore,174
2023-04-20,2,Punjab Kings,150
2023-04-20,2,Delhi Capitals,128
2023-04-21,1,Sunrisers Hyderabad,134
2023-04-21,2,Chennai Super Kings,138
2023-04-22,1,Gujarat Titans,135
2023-04-22,1,Punjab Kings,214
2023-04-22,2,Lucknow Super Giants,128
2023-04-22,2,Mumbai Indians,201
2023-04-23,1,Chennai Super Kings,235
2023-04-23,1,Royal Challengers Bangalore,189
2023-04-23,2,Kolkata Knight Riders,186
2023-04-23,2,Rajasthan Royals,182
2023-04-24,1,Delhi Capitals,144
2023-04-24,2,Sunrisers Hyderabad,137
2023-04-25,1,Gujarat Titans,207
2023-04-25,2,Mumbai Indians,152
2023-04-26,1,Kolkata Knight Riders,200
2023-04-26,2,Royal Challengers Bangalore,179
2023-04-27,1,Rajasthan Royals,202
2023-04-27,2,Chennai Super Kings,170
2023-04-28,1,Lucknow Super Giants,257
2023-04-28,2,Punjab Kings,201
