Season,Team,Total Runs
2007/08,Royal Challengers Bangalore,1983
2009,Royal Challengers Bangalore,2280
2009/10,Royal Challengers Bangalore,2401
2011,Royal Challengers Bangalore,2469
2012,Royal Challengers Bangalore,2472
2013,Royal Challengers Bangalore,2601
2014,Royal Challengers Bangalore,2093
2015,Royal Challengers Bangalore,2311
2016,Royal Challengers Bangalore,2981
2017,Royal Challengers Bangalore,1845
2019,Royal Challengers Bangalore,2208
2018,Royal Challengers Bangalore,2322
2020/21,Royal Challengers Bangalore,2289
2021,Royal Challengers Bangalore,2303
2022,Royal Challengers Bangalore,2632
2023,Royal Challengers Bangalore,2502

